Date,S007,S015,S031,S034,S036,S038,S039,S042,S047,S051,S055,S058,S069,S075,S081,S088,S095,S097,S098,S100
1966-09-01,119.8,304.5,98.8,171.3,232,116.2,168.4,40.4,377.3,195.1,83.5,61.3,32.2,57.4,21.4,208.6,350.3,65.3,28.3,89.2
1966-10-01,68.6,173.4,83,107.4,99.7,112.8,75.8,18.6,111.7,107,60.6,68.2,73.6,17.8,82.6,132.6,353.4,87.3,71.5,112
1966-11-01,91.3,106.1,72.8,93.9,90.3,88.5,70.8,84.4,106.5,97.4,79.5,89,68.8,0,78,87.6,71,64.6,68.4,100.7
1966-12-01,58.1,251,184.6,229.6,332.9,139,171.7,11.8,245.5,222,254.6,188.1,154.8,43.7,166.7,630,210.3,61,145.8,214.9
1967-01-01,127.3,246.9,193.4,183.7,195.7,170.2,169.9,200.9,246.7,228.3,189.5,137.8,50.8,225.6,168.8,428.5,357.4,166.8,146.3,218.7
1967-02-01,59.9,139.3,101.5,128.7,143,145.6,98.3,111.9,139,128.4,105.5,113.6,90.1,31.9,99.3,122.6,109.4,88.6,86.5,128.8
1967-03-01,130.8,667.1,307.4,373.2,370.7,271.4,276.5,324.5,411.5,365.4,306.8,307.3,256.7,335.3,271,368,353.9,112.9,236.5,343.8
1967-04-01,46,75.2,56.3,74.1,63.8,55,64.6,63.1,73.3,66.4,58.4,130,39.8,68,27.1,66.4,64.9,57.8,49.8,78
1967-05-01,95.5,178.9,137.4,160.6,143.9,124.3,113.7,145.7,178.4,166.5,58.9,144.7,116.6,157.9,125.1,297.8,162.3,120.4,108.3,162.6
1967-06-01,72,128,99.8,125.2,104.9,90.5,103.8,107.3,128.3,197.3,99.8,112.1,105.9,117.5,66.3,117,119.1,93,41.5,121.6
1967-07-01,190.1,202.1,152.9,255.8,164.1,152.2,92.1,6.6,204.7,186.5,113.6,162.2,131.3,51.2,140.8,313.8,248.5,131.2,122.4,180.2
1967-08-01,81.6,147.5,111.8,140.2,120.8,102.8,112.2,120.7,304.4,182.1,113.2,122.9,55,128.1,21.1,133.1,130.1,100.3,88.6,136.4
1967-09-01,52.1,138.2,32.4,359.8,60.5,9.4,289.5,67.5,24.9,196.5,184,127.9,54.1,178,48.1,148.6,43.9,68.2,41.8,40.5
1967-10-01,66.6,106.3,112.5,294.3,35,93.8,188.8,278.1,79.1,203.7,185.9,143.9,106,280.1,109.6,116.1,168.3,182.7,130.2,49.3
1967-11-01,37.9,91.4,64.7,244.6,31.9,63.9,141.8,132.2,38.2,242.1,211.4,167.4,68.8,147.1,20.4,100.2,89,240.3,83.3,36.4
1967-12-01,13.1,30.2,17.5,176.2,23.6,38.8,93,53.5,15.7,68.4,37.1,159.9,18.2,75.2,7.8,38.9,8.6,87.7,40.1,54.2
1968-01-01,55.5,128.6,75,270.7,40.4,38.3,207.6,93,16.7,197.9,165,187.7,83.8,166.2,23.5,46.3,96.5,138.8,65,33.6
1968-02-01,53.8,132.5,47.2,285.9,33.4,42.4,174.6,114.5,41.4,110.9,198.7,224.5,106,217.1,32.6,75.2,44.8,136.4,108.4,65.1
1968-03-01,24.3,243.6,125.2,735.5,104.6,77.1,447.8,536.3,63.8,301.1,402.5,292.3,178.6,234.3,52.8,248.5,46.8,292.7,236.7,204.4
1968-04-01,49.8,95.5,33.1,183,80.1,76.6,75.8,70.9,40.8,141.4,95.2,55.8,89.2,84.4,21,106.3,25,71.9,46.7,94.7
1968-05-01,0,126.5,111.2,286.5,117.3,96.9,236.4,225,39.7,239,162.2,178.7,107.5,181.4,21.3,164,0,261.6,25.1,62
1968-06-01,7.8,134.1,86.6,114,63,69.3,147.8,101.8,86.4,85.8,137.2,57.6,64.9,269.3,66.9,55.5,35.4,98,57.4,45.2
1968-07-01,11.5,151.5,122.8,153.2,121.1,97.4,129,192.9,150.3,147,119,130.4,103.5,218.7,108.7,145,155.2,114.2,92.2,142.3
1968-08-01,16.8,67.6,87.9,111.8,96.8,48.7,94.4,106.4,111.3,109.4,147.4,99.4,77.1,144.9,83.1,116.2,106.5,107.3,70.8,109.2
1968-09-01,82.5,149.8,114.8,251.9,122.2,104.6,184.6,123.3,150.3,141.6,115.5,144.4,60.5,131.8,107.2,69.3,23.8,103.1,92.2,138.7
1968-10-01,46.5,145.9,117.5,147.1,107.8,100.6,124.7,122.6,144.9,141.3,114.3,125.7,99.5,227.7,104.9,138.9,149.5,110.2,89.2,137.3
1968-11-01,21.1,68.5,43.3,59,47.7,43.1,55.9,48.4,53.1,58.2,44.5,57.5,41.1,57.2,46.2,51.2,53.6,99.6,38.8,23.8
1968-12-01,62.8,109.8,83.3,106.4,90.8,78.1,88.2,90.9,108.8,145.9,84.8,122.5,44.6,97.8,59.2,99,97.3,78.7,69.4,106.2
1969-01-01,98,179.4,140.6,229.3,145.7,124.4,167.7,149.5,182.5,171,134,151.5,121.3,163.2,127.7,78.9,169.4,126,109.4,163.2
1969-02-01,67.5,120,91.6,116.4,98.5,84.9,95.6,99.1,119,208,92.6,103.2,62,107.3,27.9,109,107.6,85.2,85.1,114.5
1969-03-01,0,233.4,182.4,352.5,185.8,76.2,176.6,205.7,234.6,217.5,274.3,186.6,152.5,221.4,161.2,428.7,34,155.8,139,207.7
1969-04-01,49.6,84.3,62,82,70.5,61.1,68.9,68.8,27.1,143.2,64.4,74.6,31.8,73.6,24,75.2,70.5,60.9,101.6,85.1
1969-05-01,76.1,50,55.8,32,25.2,26.3,79.3,63.1,73.3,25.9,57.1,149.3,87.1,155.4,33,33.5,68.2,213.6,41.6,130.8
1969-06-01,50,38.4,190.6,51,51.3,43.9,66.3,158.1,110.6,18.1,123.3,136.1,87.7,209.2,81,75.6,56.6,256.5,57.1,254.2
1969-07-01,37.5,13.5,122.3,63.7,51.5,24.4,61.1,110.1,98,15.8,91.2,71.3,71.7,178.8,14.6,54,58.4,214.5,39.7,140.4
1969-08-01,31.6,28.7,87,40.6,32.8,48.5,57.4,60.5,68.7,19.3,48.8,116,39.9,84,22.9,65,62,127.4,39.9,170.6
1969-09-01,50.2,92.6,138.3,102.4,52.6,43,69.3,152.5,85.7,21.8,122.3,79.4,74,115.3,37.2,57.1,98.4,242.7,52.6,157.7
1969-10-01,46.6,35.9,82.1,49.4,30.9,4.9,46.2,90.9,45.9,20.5,33,57.8,27.6,51.1,7,9.6,26,60.9,47.2,76.3
1969-11-01,193.7,72.3,759.1,253.8,308.5,46.6,507.4,468.5,288.5,101.1,304.9,376,145.6,515.4,30.2,26.7,190.9,524.2,180.1,670.9
1969-12-01,29.7,35.7,45.1,31.2,34.9,11.1,46.6,51.6,57.2,21.4,28.3,73.4,31.6,93,23.6,8.8,43,41.5,28.2,45.5
1970-01-01,19.1,38.1,69.4,41.6,27.8,14.5,34.4,68.1,63.1,47.4,26.6,56.9,58.4,65,8.2,20.9,69,73.7,40.5,65.5
1970-02-01,8.9,15.5,36.2,14.9,9.6,0,28.2,31.8,25.3,31.8,58.1,34.2,32.8,157.4,28.2,19.9,32.9,135.9,23.9,98.9
1970-03-01,4.4,22.7,15.4,26.8,21.5,0,30.3,41.5,17.1,26.2,17.9,30,18.1,57,23.4,19.6,18.1,25.8,19.3,35.7
1970-04-01,33.1,36.7,88.6,110.8,53.8,20,99.8,152.1,107.4,109.1,60.2,101.8,78,156.7,81.3,42.5,115.5,257.2,67.9,106.1
1970-05-01,61.7,106.6,81.2,105.9,88.6,75.9,103.7,88.9,106.2,103.2,82.7,113.4,69.4,95.8,79.3,48.7,99.6,77.6,67.8,103.5
1970-06-01,10.4,18.5,11,21.8,18.3,12.1,25.6,15.7,12.7,21.5,14.2,25.9,14.6,41,20.4,14.9,11.3,21.5,17,32
1970-07-01,34.6,37.6,91.3,115.2,39.7,80.8,101.3,96,110.5,111.6,88.8,102.3,79,114.6,83.3,106.5,117.1,167.5,70,184.3
1970-08-01,31.9,47.5,33.5,47.7,41.9,36.6,44.1,39.7,43.9,5,36.6,43.6,87.2,42.2,21.1,40.4,36.4,39,33.9,55.3
1970-09-01,38.9,61.3,43.4,46.4,53,45.5,48.2,50.4,58.4,60.1,74.2,58.2,42.2,51.9,48.8,37.5,46.9,46,41.9,66.2
1970-10-01,51.4,86.6,63.8,83.5,72.8,62.4,70.3,71.2,84.6,25.3,66.4,77.6,98.3,75.2,37.3,76.4,72.5,62.6,83,86.9
1970-11-01,42.5,56.2,41.1,37.5,48.7,16.2,65.6,82.5,53.1,56.7,31.3,56,40,91.6,45.8,8,51.2,45.8,38.9,62.5
1970-12-01,38.3,60.6,43.1,59.3,52.2,45.2,52.1,49.7,89.1,34.3,46.3,57.5,62,52.4,16.9,52.3,47.4,46.1,49.2,65.7
1971-01-01,82.4,6.4,11.4,51.3,31.6,87.3,52.5,13.2,42.9,145.2,0,47.9,101.6,0,169.6,14.9,88.2,4.7,23.1,52.6
1971-02-01,27.4,18.2,82.8,46.8,8.3,58.9,29.9,17,55.6,127.1,5.2,50.1,39.7,2.2,39.9,18.9,43.2,15.2,42.1,61.2
1971-03-01,97.9,19.1,98.9,66.4,13.6,70.3,53.5,10.4,65.2,207.1,0,60.8,115.9,0,76.8,18.5,38.2,10.3,50.2,89.7
1971-04-01,39,11.2,28.7,34.1,16.4,37.1,83.2,53.5,18.7,77.8,45.4,64.8,88.2,60.2,72.3,15.2,55.8,8,25,117.7
1971-05-01,38.3,10.6,51.1,56,37.1,90.4,77.2,1.8,40.2,150.3,0,52.8,136,0,91.3,14.7,56.2,0,22.4,99.8
1971-06-01,67,14.2,68.7,49,14.4,145.5,143,17.7,58.5,122.5,0.9,148.6,197.2,0,216.2,33.3,148.7,8,48.7,212.7
1971-07-01,125.8,44.7,177.9,356.8,70.6,609.1,210.4,44.3,121.5,445.9,15.3,125,440.2,0,625.6,19.3,369,59.5,148.6,439.3
1971-08-01,24.7,32.1,26.7,30.2,30.7,42.8,25.8,15.6,21.7,78,0,35.3,16.6,27.2,33.7,2.5,47.4,29.7,18.9,42.6
1971-09-01,55.6,6.9,40.6,78.8,37.5,94.9,30.4,27.6,54.6,179.5,0,44.8,40,0.3,106,7.8,48.5,39,58.9,57.7
1971-10-01,104.5,27,50.2,54.4,54.1,164.9,90.4,30.8,79.4,77.9,0,49.3,54,0,62,28,61,23.8,53.5,105.1
1971-11-01,80.3,101.3,69.9,91.7,85.2,148.2,70.1,13,99.4,92.4,75.5,83.5,64.5,0,73.9,86.2,70.4,62.9,65,97.3
1971-12-01,50.9,6.3,22.9,36.1,10.5,102.7,33.1,5.2,32,36.4,0,37.7,25.1,0,32.1,41.8,20.7,15.7,27.7,46.1
1972-01-01,63.4,108,82.7,45.2,90.4,76.6,114,91,109.1,105.6,84.3,55.6,172,97.4,81.1,18.5,111.3,79.5,69,104.6
1972-02-01,22,25,13.7,25,23.9,31.2,24.9,19.9,19.8,25.9,18.4,29.3,17.7,0,24.4,18.5,9.5,21.5,21,36.5
1972-03-01,79.6,16.2,38.3,53.7,33.5,42.5,45.5,46,54.2,55,43,53.7,38.5,43.9,45.8,47.1,37.5,5.8,39.7,82.6
1972-04-01,65.7,115.5,87.9,111.7,95.3,81.8,92.1,95.6,114.8,111.4,89.2,85.9,113.8,102.8,59.9,104.2,102.7,82.3,72.7,110.8
1972-05-01,20.4,25.5,15.8,45,24.2,22.1,35.4,21.1,20.1,27.5,2.4,30.8,18.9,23.1,24.9,14.8,15.4,24.6,21.1,37.5
1972-06-01,56.1,96.4,73,94.2,80.1,69.2,79.3,80.1,94.8,121.1,74.6,86.1,66,86.6,82.6,86.7,85,70.6,34.9,95.3
1972-07-01,85.1,91,66.1,54.7,76.8,163.4,138.6,54.4,89.5,86.6,0,80.2,61,0,68.3,27.5,64,63.8,59,90.1
1972-08-01,71.5,127.5,98.7,124.3,104.4,90.1,102.5,106.3,64.6,190.8,99.1,110.6,83.1,115.9,130.8,116.4,117.1,91.7,41.2,121
1972-09-01,7.3,97.8,33.3,12.8,31.2,24.6,0,12.9,2.6,42,5.5,2.3,1.4,43.1,24.7,90.5,8.5,25.8,6.6,44.4
1972-10-01,13.2,137.6,98,7.5,74.8,30.2,7.3,29,21.7,75.5,48.9,55.9,44,78,50.6,175.6,5.1,57.2,32.3,61.3
1972-11-01,7.5,135.6,81.3,9.6,82.1,14,1.3,47.2,8.8,30.1,6.6,11.3,0,35.3,38.5,111.3,7.3,43.9,30.5,33.5
1972-12-01,3.6,94.7,35.5,3.3,32.3,25.5,0,14.5,1.3,27.7,16.4,6.1,0.4,17,12.6,76,19,26.8,6.2,17
1973-01-01,6.8,145,56.3,4,58.1,20.8,0.2,24.6,8.8,30.1,18.6,10.8,0,39,14.8,85.5,6.9,37.7,9.9,35.3
1973-02-01,8.2,127.2,61.6,13.4,48.9,23.4,8,37.9,17.3,65.9,17.1,15.4,1.3,37.5,43.1,107.3,12.4,50.3,18.4,39.9
1973-03-01,45.3,536.3,473.8,18.2,147.2,112,18,118.9,127.8,217,90.9,26.1,4.9,208.6,133,484.3,31.5,183.5,95.3,145.3
1973-04-01,21.5,42.7,50,0.9,26.9,25.5,0.9,21.7,12.3,40.2,4.3,2.2,0,35.3,39.1,130.4,10.7,18.8,36.2,51.4
1973-05-01,17.7,69.7,45.5,1.9,38.5,12.8,2.3,11.2,10.7,33.3,2.9,8.7,0,21.8,14.5,55.8,9.9,38.1,11.8,17.4
1973-06-01,8,120.6,18.4,1.4,31.2,22.8,0.1,11.2,22.7,28.9,8.9,5.2,19,19.7,26.4,70.3,6.3,51.1,22.8,16.7
1973-07-01,7.6,14.8,7.2,17.4,15.7,16.4,21.1,16.3,8.8,17.5,11,22.4,11.8,20.4,17.8,10.7,4.8,17.7,14.9,28.7
1973-08-01,5,58.6,22.4,35.9,29.1,13.5,34.1,15,28.8,34.9,13.2,36.2,23.8,11.5,30.4,117.6,22.4,26.8,26.1,44.8
1973-09-01,38.8,67.2,45.4,29,55.7,49.9,7.9,51.2,59.9,60.8,49.2,14.9,2.8,53.5,49.9,272.2,37.2,44.7,44.1,70.9
1973-10-01,7.1,20.5,11.2,22.1,38.7,15.4,24.2,16.6,14.8,22.4,15.2,26.3,15.2,20.3,21.5,15.5,9,20.5,18.3,33.2
1973-11-01,3.5,151.6,27.6,41.7,30.4,14.2,38,33.5,36.6,41.2,31.3,41.5,28.3,34.7,35.2,35.3,27.8,24.5,30.3,38.2
1973-12-01,13.9,12.5,4.4,14.3,14.1,13.3,17.8,9.7,6.3,29.6,8.8,8.8,0,9.2,24.3,7.8,0,14.7,13.7,26.5
1974-01-01,17.4,20.1,9.8,7.7,20,18.4,3,15.4,13.9,20.9,4.5,24.5,13.9,14.4,20.8,63.9,5.4,18.3,18,32.6
1974-02-01,18.2,20.9,11.5,22.4,20.7,18.9,24.3,17,15.4,38.9,15.6,26.7,0,17.4,35.1,15.8,9,20.6,10.2,33.5
1974-03-01,4.5,23.5,13.5,5.8,22.4,19.4,0,15.6,17.4,24.7,6.3,27.8,16.6,35.1,23.2,101.9,10.2,22,19.8,35.7
1974-04-01,24.6,33.8,22,34.7,30.8,27.5,33.7,27.7,31.2,72.7,25.6,36.7,0,29.2,43.3,27.9,22,29.1,10.3,44
1974-05-01,106.7,279.3,22.4,23.2,79.4,24.6,32,18.9,109,90.1,114,191.2,0,27.6,31.1,261.2,94.3,139.6,7,94.8
1974-06-01,9.7,161.5,41.3,2.5,60.8,15.1,5.7,9.9,61.3,71.8,19.8,87.7,34.3,10,45.6,73,29.6,37.8,30.2,95.5
1974-07-01,20.3,180.1,21.1,11.2,38.4,23.4,11.6,13.2,56.8,60.4,18.6,70.8,0,7.9,66.8,57.5,48.4,19.6,9.2,95.5
1974-08-01,28.4,121.3,16.4,12.5,24.7,33.5,0,37.9,38.8,52.6,26.9,116,0,38,16.7,60.5,42.7,43.6,5.7,68.6
1974-09-01,40.2,134.8,30.2,1,33.8,23.5,10.7,0,57.6,180.9,20.2,73.4,0,10.5,41.8,46.1,42.4,43.1,11.3,93.6
1974-10-01,42.8,178.4,27.8,24.1,34.2,37.2,25.9,42.6,107.3,78.4,85.7,125.8,51.2,10,40.4,96.9,45.4,45.2,17.3,71.1
1974-11-01,254.2,673.9,36.2,129.1,165.8,120,265.6,180.9,437.7,270.4,215.3,315.6,20.8,11.5,65.6,318.6,181.6,231.7,46.3,187.6
1974-12-01,22.1,29.1,21.3,3.2,21.1,15.5,15.6,15.3,44.3,60.1,12,71,0,0,19.9,70.2,25,23.4,7.7,40.2
1975-01-01,52.7,125.4,20.6,9.1,50.8,72.5,27.6,25.6,88.5,155,44.1,94.4,0,11.6,68.8,88.5,60.8,43,42.1,48.9
1975-02-01,88.6,204.5,54.9,34.6,82.6,26.2,10.2,8.4,83.2,81.3,27.1,77.1,58.3,12.2,64.3,133.8,119.4,113.1,55.6,52
1975-03-01,161.3,147.3,106.5,133.4,123,112.8,102.6,26.5,149.9,135.7,111.5,121.3,96.1,62.8,105.3,126.7,115.6,93.1,92,134.3
1975-04-01,30.5,96.6,39.2,24.8,35.7,16.4,47.8,21.1,52.4,54.9,90.1,53.2,38.2,0,45.1,118.4,41.1,42.1,38.9,62.4
1975-05-01,29.4,43.4,28.9,13.7,38.5,33.8,9.4,35,38.7,42.9,32.7,74.7,2.1,36.1,36.5,92.9,47,34.1,31.4,51.7
1975-06-01,15.5,31.8,19,31.3,42.9,38.1,29.5,25.3,26.7,31.9,23.5,34,21.9,3.7,28.8,24.9,15.7,25.5,24.8,42
1975-07-01,30.8,133.5,52.3,70.5,76.4,25.4,59.6,59.3,69.7,70,55.5,65.8,48.9,61.9,56,63.8,57.5,41.6,48.3,78.5
1975-08-01,22.2,28.8,18,29.9,27,24.2,30.2,23.7,23.8,49.9,21.8,49.4,0,24.8,20.5,23.2,17.2,26.1,23.1,40
1975-09-01,22.6,30.4,17.9,5,28.1,25.1,10.8,23.8,24.7,30.3,18.5,32.4,20.6,23.3,27.6,77.5,15.1,24.7,23.9,41
1975-10-01,43.9,72.8,54.1,72.3,61.3,53.6,62.5,60.4,69.6,164.4,56.2,67.2,0,65.6,86.8,65.2,61.8,55.1,6.2,76.2
1975-11-01,77.2,113.9,81.8,17.9,94.9,104.9,32.7,38.6,112.9,105.6,206.9,94.9,74,37.8,82.7,193.3,52.5,73.6,72.1,108.1
1975-12-01,25.8,36.1,23.7,36.7,32.8,29,35,29.6,72.4,70.2,27.4,38.4,0,30.9,30.7,29.9,23.8,30.4,6.9,45.9
1976-01-01,6,90.2,11,19.5,8.2,62,38.4,11.8,8.1,1.7,0,0.5,12.7,13.4,110,69.7,3.5,9.6,19,59.8
1976-02-01,26,179.3,12.7,12.7,26.7,97.6,24.7,59,42.8,10.1,1.4,16.8,44.1,76.3,63.2,129.7,20.4,13.1,94,156.3
1976-03-01,17.5,117.1,19.7,49.8,20,112.1,96.5,76.9,63.3,25.9,0,30.5,70.8,101.7,233.1,163.8,47.4,32.5,101,108.1
1976-04-01,12.7,100.6,33,22.6,52,75.2,65.4,69.3,35.6,10.3,68.5,20.7,23.1,62.6,233.5,181.9,21.5,76.4,36.8,164.5
1976-05-01,5.9,140,13.2,22.5,25.1,90.2,65,31.1,45.2,1.8,0,2.7,10,75,277.8,150.5,29.8,18,60.4,94.3
1976-06-01,7.6,72.8,19.1,47.9,14.3,53.3,64.4,18.7,31.3,9.1,0.5,15.7,14.1,64.9,169,88.1,28.4,15.1,37.7,76.9
1976-07-01,3.1,118.3,50.9,85,40.7,79.5,115.9,36.7,43.1,6.4,0,36.3,38.8,77.6,325.9,138.5,5.5,48.2,129.1,120.8
1976-08-01,15.2,18.6,12,3.4,16.8,22.5,15.8,17.4,8,2.3,0,4.3,6.5,24,33.9,30.2,0.3,13.3,22,31.6
1976-09-01,3.4,85.8,36.4,7.4,14.9,54.5,29.5,52.3,6.4,0,0,5.4,10.1,26.2,133,55.7,0,7.5,58.4,51.3
1976-10-01,7.8,126.2,37.6,19,75.9,71.5,32.2,23,54.8,57,4.4,8.5,33.4,86.4,46.7,95.3,8.6,14.3,40.5,107.6
1976-11-01,8.1,49,34.2,49.9,42,83.7,44.8,17.2,43.4,48.1,37.1,46.9,33,46.4,39.8,43.6,37.4,38.7,34.2,56.7
1976-12-01,4.1,84.4,33,22.7,22.9,63.5,43.2,26.6,42.6,46.9,0,45.7,32.1,36.6,39.2,163.5,34.9,13.1,33.8,55.9
1977-01-01,50.8,89.8,66.4,31.3,73.7,65.1,130.5,72.2,84.9,84.5,68.1,17.6,42.9,80.1,66,196.8,37.1,64.2,57.2,89.9
1977-02-01,3.1,32.9,22.2,35.5,16.4,58.8,35,27,26.8,34.1,25.1,35.6,23.2,39.4,29.4,29,24,29.8,25,43.8
1977-03-01,3.3,148.1,49.1,67.5,37.3,87,56.8,55.5,64.3,65.7,52.2,61.3,45.4,58.5,52.8,61.4,53.6,28.9,45.6,66.8
1977-04-01,27.3,39.5,24.8,38.6,35.6,31.1,35,31.1,34.4,1.9,29.2,11.5,15.7,31,94.5,32.4,23.6,30.2,29.2,48.2
1977-05-01,26.7,39.2,26,33.9,34.7,31.2,32.7,31.5,33.7,39.1,0,39.7,26.8,33.9,33.5,80.8,27,32.1,28.7,48.5
1977-06-01,108.2,200.3,151.8,187.6,162.9,137.6,145.9,162.9,203.2,6,153.2,161.5,100.8,170.6,291.8,180.8,176.2,131,127,178.8
1977-07-01,10.7,51.4,36.3,12.4,44.2,63.5,49.1,48.2,46.5,50.7,0,49.5,35.1,89.6,41.7,118.3,1.5,40.6,35.7,58.6
1977-08-01,60.3,104.9,77.7,100.2,87.1,74.5,81.9,85.6,64,4.7,80.2,90.3,40.5,89.9,220.3,93.4,88.2,72.9,47.3,101.7
1977-09-01,44.4,11,3.5,7.4,0.6,9.8,20.6,25.8,7.9,1.3,5.6,27.3,26.2,6.7,3.9,1,25.5,45.6,4.4,4
1977-10-01,9.9,2.7,0.4,0.1,0.1,11.6,24.2,2.6,1.3,0,0.2,13.6,3.7,6.8,9.8,0,13,15,6.9,18.8
1977-11-01,17.3,4.2,1.6,4.7,1.3,14.4,21.1,1.3,1.5,0,0.2,36.6,7.5,8,1.3,1.2,9.9,21.5,9.5,9.4
1977-12-01,33.4,3.3,0.6,1.3,0.6,17.4,14.8,5.4,6.9,0.9,2.8,25.7,9.8,10.4,3.3,2.5,20.8,40.9,16.3,7.3
1978-01-01,41.5,6.8,0.8,0.3,1.6,33.4,31.4,2.9,8.5,0.4,1,31.3,6,17.3,1.4,1.8,21.6,27.6,23.5,6.4
1978-02-01,20.4,1.7,0.7,1.5,0.1,7.9,16,25.8,4.8,0.8,4,31.5,4.7,2.9,1.1,1.8,32.9,9.1,11.1,7.3
1978-03-01,40.3,4.3,1,15.5,0.3,20.4,27.3,61.1,10.5,2,8.4,55.4,6.8,3.8,9.9,5,35.5,34.7,6.5,14.3
1978-04-01,13.2,10.5,2,2.4,12.4,29.2,29.4,26.7,4.1,0,0,16.9,3,6.2,0.4,1.3,24.5,15.3,20.9,24.9
1978-05-01,15.2,1,4.3,3.2,0,46.6,40.7,18.6,4.8,0.2,0.6,40.1,5.1,5.1,0.8,0.7,11.5,81.5,27.5,4.1
1978-06-01,36.6,6,3,2.1,0.4,19.7,27.8,17.1,7.2,15.3,6,23.6,10.4,1.7,16.5,0.5,11.8,15.3,13.9,13.6
1978-07-01,28.6,16.5,7.1,17,17.8,8.9,19.6,9.5,11.3,18.5,12,23.4,12.6,2.9,19,10.3,2.4,16.8,16.2,29.5
1978-08-01,23.8,0.4,0.5,2,0.2,14.3,14.5,8.8,1.3,10.3,0.4,16.5,6.7,6.3,12.9,0.6,-4.5,11.9,10.8,22.3
1978-09-01,15.3,14.5,6.8,1.1,15.9,14.6,14.1,12.2,9.1,17.5,10.9,33.5,9.4,12.6,17.9,4.3,25.9,17.4,15,28.3
1978-10-01,40,40.2,25.9,39.4,0,62.3,35.5,32.4,35.7,39.9,30.2,40.9,27.6,5.9,34.5,32.9,23.9,31.1,29.6,49
1978-11-01,29,4.5,10.7,21.1,0,38.1,24.6,15.9,13.5,21.7,14.3,26.5,15,17.7,20.7,14,9.8,39,17.3,0.2
1978-12-01,12.3,8.5,2.1,11,11.2,10.7,16.3,7.4,2.9,0,6.3,43,9.2,7.3,0.8,4,-1.8,13.7,11.5,23.5
